Rating(/10),Review Title ,Review ,Helpful Upvotes,Helpful Downvotes,Username,Date,Contains Spoiler
10,"In the 28 known galaxies, there is no better film","I just caught a screener and am so blown away. The original came out when I was 6, so I have been a fanatic most of my life. I don't think the legacy of Superman has yet to leave any small boy unimpressed and forever moved to tell the truth, seek justice, and well, you know the rest.I will tell NOTHING of the story. It would rob you of everything good. Besides, I don't think there is anything I could write to make you not go see it. I just have to say that my hat is off to Bryan Singer for making so many important right choices. Sticking with the original John Williams score and having Ottman build from it, the re-working of Brando's archive footage, and most of all, the casting of Brandon Routh makes this such an amazingly familiar bridge from the 80's films with all thew wonder of what can be done with film today. All of the components that are necessary to accommodate your past feelings and emotions bridging them forward to this movie are present and in tact. Great job!!!! Let me say that I was on the fence about Routh from all of the trailers I had seen. I was so thankful that it was not Nicholas Cage donning the blue suit poised to ruin my childhood hero, but I wanted what seemed impossible, I wanted Christopher Reeve back in his prime heroic form. The trailers give no hint of the amazing performance that Brandon Routh has turned in. There are moments that just gutshot you right into Reeve's performances. The half cocked smile, the timbre of his voice, the Clark Kent mannerisms perfected by Reeve are echoed here in Routh's delivery as both an homage and as a great device to tie the past generation into this new ability to tell a story with all of the technology at hand.A big Kudos must go to Kevin Spacey and Parker Posey who are awesome as Lex and Kitty. Not too much humor, but some, not too much banter, but enough, and all of the evil you need to see in order to make him truly the enemy of Superman. Perfection! I know it'd be easier to enjoy if I just told you it sucked completely and didn't try to build it up to something you may not think it is, but I have no doubt about it. The story itself is too rich and wonderful and the trailers give away nothing of what's in store for you. There is no way to be disappointed. Take it from me.",435,441,davidsimmons,"Jun 17, 2006",
8,Superman Returns: The Official Review (spoiler free),,308,297,MLFILMS,"Jun 17, 2006",Spoiler
7,A different story on a classic superhero.,"Brandon Routh does pull it off as the new Clark Kent/Superman. This movie actually stands out from the crowd of comics turned into film (Batman Returns, Sin City, the Fantastic 4, The Hulk, Spiderman, X-men trilogy, etc.) Superman is a unique superhero. The context of his world is different from the corrupted (ba)Sin City or a world with millions of mutants. This allowed the film to have a lighter tone with a good amount of laughs.I didn't expect this film to be different or good for that matter but I loved it. Routh is our generation's Superman, Bosworth is a good Lois Lane, the effects are breathtaking, the story is exciting, and people literally cheered in the theater. Not to mention, Routh was so nice in person.",30,34,missportillo,"Jun 17, 2006",
6,Superman Returns,,16,34,Blood_Storm,"Jun 17, 2006",Spoiler
10,The Man Of Steel is back....,"and from the looks of this movie and how much it will be making, I'm very sure he's back for good.On June 18th, 2006, I was one of the lucky 250 patrons who had an opportunity to watch a sneak preview showing of ""Superman Returns"" here in San Francisco, at the Sony/Loews Metreon theater.Don't worry. No spoilers. Just some small details.From the opening of the movie, fans who have seen the original film will be delighted at the fact that ""Superman Returns"" truly does feel as more of a 'continuation' from the original ""Superman"" and ""Superman II"" starring Christopher Reeve. Even the opening credits will give the classic film fans a bite of nostalgia, simply because of the overall presentation of the opening credits.Director Bryan Singer really does know how to take these 'comic book based' movies to the next level and bring them success (or back from hiatus, depending on how you look at it) all while making the film watcher's experience something a bit different, not only in terms of plot, but his overall expertise and execution of being a really good director.Actor Brandon Routh definitely does extremely well in his performance as the main character ""Superman/Clark Kent"" and does so with such natural acting ability, you could have sworn that you've seen him act in many other things. (Yes, I really can see him as 'Superman') Actor Kevin Spacey's performance as ""Lex Luthor"", although not too derived from Gene Hackman's portrayal of the villain, does a great job at bringing a different kind of arrogance to the character. Then again, when has there never been a top notch performance from Spacey? All of the films he's starred in usually have him performing at his best.Actress Kate Bosworth's portrayal of ""Lois Lane"" wasn't bad, but wasn't great either and for some reason, seems a bit young to be the ""Lois Lane"" character that fans will remember through Margot Kidder's portrayal in the original Superman films from 1978 to 1987. Personally, I've always seen Lois Lane as a character in her early 30's, not as someone who is as young as Miss Bosworth is, although Bosworth's performance was just enough to be convincing.Overall, Superman Fans WILL be pleased by this 2 hour, 34 minute film that truly shows a triumphant return of the one and only ""Man Of Steel"".Would I pay to see it again? I plan on it. I'm actually planning on seeing it at the Imax Theater in 3D (select scenes in 3D), so why not? I'm sure I'll enjoy it again.",291,304,S_Forgel,"Jun 18, 2006",
7,This film does for Superman what Batman Begins did for Batman.,"Of all the Superheroes, my favorite has always been Batman and Spiderman,along with the X-men.Because, I have something to relate to with those characters.And they really can exist in real life.Superman has always been my least favorite,not because he is flawed or anything,which he is a bit,it's because he can't exist in real life.But there's something in him that relates to us,as a human.He is lost and doesn't know what to do.He lost his parents,he is confused and he doesn't know what choices to make,and yet he chooses to do what he does.He is a being from another world,and far superior.He lives among us as a friendly human being.And protects us with the power he has.I've always loved Superman for who he is ,but the not the overall character.But after watching this film, I saw something in him that makes him real.People look up at him and consider him god,and their Saviour.He gives hope to people ,he is different from them,and yet he chose to protect them.But deep inside him there is humanity hidden.And this film explodes with warmth and thrills.It comes close to beating Batman Begins and Spider-Man films,and this film completely expresses the essence of this Legendary Character.He was the first of its kind.I can't praise this film enough without spoiling a bit,but I'll try to give you nothing but the praises.I liked the first Superman film,it was one of the first great Superhero films to reign the big screen.It was the greatest superhero film of its time.Even if it looks outdated in its effects and technology,it still retains the charm and sweetness that makes Superman so likable.It was massively entertaining,and still is.But for me,it's now a bit cheesy and cartoonish and lacks a classic villain that Luthor was supposed to be.But Superman:The movie remains to be the first great classic ,like the comic book itself.Last year, we had a reinvention or re-imagination of Batman in Batman Begins.He returned to the screen in a miraculously fascinating way.The character was made riveting and more complex,and the true essence of the character was brought in that film,which makes it the definite Batman Film.Superman Returns follows the same League.This return is nothing but a welcome return.It gives you the very definite version of who Superman really was and is in the comic books and more. The story is so humane, and so close to your heart that you accept Superman for who he is and you feel for his love that he lost.This film is close to the first.You know the story ,and there are big surprises ,so there's no point of mentioning them and I think you should go see it for yourself.The effects were breath stopping along with its action. You will have your eyes fixed at the screen and grip your seat so that you won't even move. This is the best effects 21st century has to offer yet.But to be honest it's still not superior than King Kong.The SFX just stays behind that film.But it is unlike anything you'll see all year,in particular the Plane Rescue sequence.Although,they're nothing Groundbreaking,or remotely as earth-shattering as King Kong.That was the best Special FX 21st century had to offer.The action in this film is filled with so much energy,sheer enthusiasm and excitement that you feel like you're flying right up there with him. Kudos for its SFX .But it's not a film that solely relies on its SFX,it has very little of those and minimized action.Instead it focuses on the story and character like Spider-Man films did.I hated Singer for leaving one of my favorite comic book films and did this.But he has brought so much warmth and love to this film that this is more of a love story of regret than an action film.And for that this man deserves all the praise.From Usual suspects to X-men films, he's always presented his vision in a different manner.The true hero here is Singer himself and I think if he had helled X3,it could've been a far better film than it is.This film propels and brings Superman where he belongs.The original Superman was enjoyable and fun.And it's mainly because Reeve's presence,who brings so much humanity and humour in the character and the film that you simply love the Hero.Here ,it's not Reeves or Brandon Routh,who resembles a lot to Reeves, that make this film more than what it is in comparison to performances. The whole film belongs to Spacey,I'm sorry Routh ,you resemble a lot to Reeves and you were great, but it's Spacey that really has the acting skills.He simply turns Luthor into simply evil character that was rather silly in the original film.Spacey shows who Luthor really is,which was missing in the original film. Routh fits so well as the Man of Steel that you have no complaints towards him.Kate Bosworth as the Love of the steel that melts him whenever he's close to her disappoints.She was lost mostly and too wooden as Lois Lane.Parker Posey is another special mention and so was the rest of the cast,especially Marsden.There are numerous references to the Richard Donner classic.And that just brings you to remember that film.It's as if you're watching that film with more improved quality of effects and looks.And that is both a good thing and a bad thing.Way too many Jesus references in the end.I would say this was a terrific and groundbreaking achievement.Although I would still consider Spiderman 2 my favorite superhero film followed by X-men films,not the third one,and Batman Begins.Then comes this, beating Hulk.This is an exhilarating epic.Superman Returns is an ambitious work.Filled with momentum excitement.Tremendous ,marvellous epic scaled entertainment.It was good but just not great.Its last few reels were disappointing and the surprise it had for us just disjointed the whole story.You can feel the powers that Superman possess but they don't have a lasting impact.Only Pirates will tell how long Superman lasts.",39,51,HiddenVoice,"Jun 19, 2006",
10,greatest super hero film ever,"Brandon Routh perfectly portrays both Clark Kent and superman.. the former's endearing awkwardness and the more confident and suave superman. he is the rock that the rest of the movie is built upon. he actually improves upon Christopher Reeves performance. Kevin Spacey is also great as the psychotic lex luthor. although his evil schemes are never really explained very well, his performance makes up for it. the film is beautifully shot and edited, its a sensory thrill ride the whole way through. overall, this might contend for greatest comic book film ever- even better than last years Batman Begins, partly because this has a believable and engaging romance- not the travesty that was Katie Holmes. spot on casting, great acting, and great directing from Bryan Singer make this an all around winner.",26,31,mct1115,"Jun 20, 2006",
8,"More Drama that Action-Adventure, But Pretty Damn Good",,8,7,imdb-543,"Jun 21, 2006",Spoiler
8,one of the best Super Hero movies ever,"This movie completely blows any of the recent superhero movies out of the water. Spiderman, fantastic four and even singer's previous X-men movies all pale in comparison. Not only does it include incredible special effects, sound, and visual achievements, but the plot is well developed and deeper than most comic/super hero movies ever attempt to go. Superman Returns stays faithful to the original Superman movies and comics and serves as a great update to the storyline. Brandon Routh must be a distant relative of Christopher Reeves, the similarity between the two and their portrayal is striking. Bonus points go to Singer for including Brando clips for Superman's father.In my opinion, a good superhero movie should make the audience want to live in the world which the hero inhabits, or wish that the hero truly existed in reality. This movie does just that- makes you wish there was such a force of truth and justice living in our world.",161,169,jpetsy07,"Jun 22, 2006",
,dull and slightly embarrassing to watch,"The real problem here still lies with the fact that Director Bryan Singer vastly misjudged what made the first Superman so successful. He actually seems to think that people care about the characters' relationships and the metaphysical plot. Everyone I've spoken to thought those two things were the weakest aspects of the movie. The first Superman was good DESPITE the corny love story and beyond corny plot turns. This one centers on corny and centers on the mundane, and that's why it's dull and slightly embarrassing to watch. It's either that or maybe it's the ridiculous Superman costume that they modernized. Maybe they should've changed the movie's title from Superman Returns to Brokeback Superdude? It's no wonder Bryan Singer recently said the following about this movie… Reflecting on how Superman differs from his previous movies, Singer observed, ""The one thing I could say (about that) is the romantic nature of this film. This is different than my 'X-Men' films. It could be called my first chick flick. It's a kind of modern romance in a way played out by very nostalgic characters."" Nostalgic or simply played out?",29,31,dododingo123,"Jun 22, 2006",
