"audience-reviews__name","audience-reviews__duration","audience-reviews__review"
"DJ","Oct 3, 2025","I like the movie and I think it's a good first movie for the restart, I hope they can capitalize"
"Matt D","Oct 3, 2025","Special effects lacked, the plot was lacking, the flight scenes were pretty poor, the acting was terrible (Lex) 

The only.goodnpart was the original sound track in the first 2 minutes... everything after that wasn't worth watching"
"PIXELEYE P","Oct 3, 2025","This movie is HOPE!
Superman (2025) finally portrays the character exactly as he should be: loving, caring, incorruptible, and driven by an unshakable will to save lives and prevent death, no matter who is in danger. He inspires people to do good simply by being himself. This Superman loves life, and the film makes kindness and optimism its central themes, which is what superman is all about. 

The tone is (finally) readjusted from the darker, conflicted and ""edgy"" versions we’ve seen in recent years, to a bright, colorful, and uplifting theme, which truly fits the character better. It feels like a true return to the heart of Superman, while still feeling fresh and modern. 

Loved how the film introduced new and lesser-known characters, such as Mr. Terrific, in a re-imagined and genuinely cool way. They managed to make these secondary heroes likable and engaging, while the story never loses focus on the main character. It remains a Superman movie (not a Justice League movie) while still expanding the world!

The music deserves its own praise. The score reimagines the classic Superman theme in a modern style, and it fits perfectly. Blending nostalgia with a powerful and updated sound! 


Usually not a fan of superhero movies but this movie was a genuinely good watch!"
"Maddison K.","Oct 3, 2025","Good enough for a fun family movie night! Made me a fan of Corenswet - thought he was a wonderful casting choice."
"Richard L","Oct 3, 2025","I am SOOOOO glad I passed on this in theaters. Just watched, for free, on cable.

It is one of the worst movies ever. Not one thing about it was likable or believable. Suspension of disbelief was never felt.

Remember when they remade HULK over, and over, and over? Yup, here we go again.

They seriously gotta come up with the 0.25 Star setting. And yes, its that bad"
"Lala L","Oct 3, 2025","The world has gone stupid"
"Laurence&Diane C","Oct 2, 2025","I absolutely loved this film, great actors and on screen chemistry, family friendly and a breath of fresh air."
"James J.","Oct 2, 2025","This is the first movie I have seen James Gunn make with a beloved superhero already. So this is a step up from Guardians of the Galaxy because they were not very loved before him. This movie single handedly made me fall in love with Superman again. Gunn is so good at making me feel apart of his world and his ideas. David Corenswet is perfect as Superman, even though I think he didn’t get to be Clark Kent enough and I am still waiting to see if he will be great as Clark, from what I saw I loved. The music in this movie is top notch and it made me feel immersed in this universe. Waiting for the Supergirl movie."
"Grayson L.","Oct 2, 2025","Wow. These flying scenes are CRAZY AWESOME!!! Now this wasn’t GOOD OR BAD. I’m just gonna say you’re either gonna like it or hate it NO INBETWEEN. But that’s different for me, IT WAS MID. But hey, WHY DID THEY HAVE LIKE 10 VILLIANS AT THE SAME TIME. Solid 3 and a half💀👍"
"Hayl E","Oct 2, 2025","Heartwarming, fun, incredibly relevant in today's climate."
"Diallo G","Oct 2, 2025","As soon as I saw Krypto the Super Pooch, I was out.  But then the reviews made me curious, and the trailer showed some humor, so I decided to give it a try.

Better than I thought!  They somehow managed to make both a really old school Superman, with boy scout values, and permanently modeled super-hair, and at the same time put him in a modernized world that could barely understand him, and which he could barely understand.  Lex Luthor was definitely the most formidable Luthor yet.  

And the movie makers found a way around the fatal flaw of Superman as a character--that he's the Swiss-army knife of superheroes, and is invincible unless someone can find yet another piece of that little green rock.  By taking a bit of the piss out of Superman and the other heroes (thank you Incredibles and The Boys), while investing in his simple goodness in a morally compromised world, they were able to make fun of this classic superhero and make love to him at the same time.  

And he took it like a champ!"
"Tarrie S","Oct 2, 2025","Just watched Superman and I wish I could give it negative Zero stars. This has to be the worst movie I have seen in a long time. This was so sad because I love the superman story. My advise if your want to watch a fantastic superman story see Christopher Reeves version, that's how the story of Superman is supposed to be. This Movie was way to violent, breeding cruelty to animals. Came across as cold, violent and with no feeling. Earth parents are supposed to be the teachers of good, Not be dumb. You think with a dog its going to be at least light hearted, no dont be fooled. I will never gets those 2 hours back. Save your money and time."
